@RELATION TWEET 

@ATTRIBUTE fp_pronoun		NUMERIC
@ATTRIBUTE sp_pronoun		NUMERIC
@ATTRIBUTE tp_pronoun		NUMERIC
@ATTRIBUTE coordinat_conj		NUMERIC
@ATTRIBUTE past_tense_verbs		NUMERIC
@ATTRIBUTE future_tense_verbs		NUMERIC
@ATTRIBUTE commas		NUMERIC
@ATTRIBUTE colons		NUMERIC
@ATTRIBUTE dash		NUMERIC
@ATTRIBUTE parentheses		NUMERIC
@ATTRIBUTE ellipses		NUMERIC
@ATTRIBUTE common_nouns		NUMERIC
@ATTRIBUTE proper_nouns		NUMERIC
@ATTRIBUTE adverbs		NUMERIC
@ATTRIBUTE wh-words		NUMERIC
@ATTRIBUTE modern_slang		NUMERIC
@ATTRIBUTE upper_case		NUMERIC
@ATTRIBUTE avg_len_token		NUMERIC
@ATTRIBUTE avg_len_sentence		NUMERIC
@ATTRIBUTE num_sentence		NUMERIC
@ATTRIBUTE class		{cnn, CBCNews}

@DATA
0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 2, 2, 1, 0, 0, 0, 1, 13, 1, cnn
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 1, 32, 1, cnn
1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 53, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 1, 61, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 2, 1, 68, 1, cnn
0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0, 0, 0, 0, 0, 1, 79, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 84, 1, cnn
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 4, 1, 0, 0, 0, 1, 105, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 113, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 5, 1, 1, 0, 3, 1, 70, 2, cnn
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 148, 1, cnn
1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 6, 3, 2, 0, 0, 2, 1, 84, 2, cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 178, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 185, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 192, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 1, 1, 200, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 206, 1, cnn
0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 1, 1, 222, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 241, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 124, 2, cnn
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 9, 4, 1, 0, 0, 3, 1, 135, 2, cnn
2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0, 1, 1, 286, 1, cnn
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 293, 1, cnn
0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 303, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 310, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 162, 2, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 1, 336, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 342, 1, cnn
0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0, 0, 1, 1, 354, 1, cnn
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 364, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 373, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 1, 381, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 391, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 398, 1, cnn
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 1, 409, 1, cnn
0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 8, 1, 1, 0, 0, 1, 1, 429, 1, cnn
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 1, 442, 1, cnn
